actor_id,edits,username,team_or_ex-team,member_convo,member_academy,teacher,teacher_student,age,bundesland
73435,5207,kathongi,1,1,1,0,1,,Bayern
146133,3337,WandaPaetzold,1,1,1,0,1,,Bayern
87602,3187,Karin,1,0,0,0,0,,Bayern
53589,2776,chdieter,0,0,0,1,1,,Bayern
70932,2184,metzgaria,1,0,1,1,1,,Bayern
27693,2052,Nish,1,1,1,0,0,,Bayern
121732,1899,Jonathan,0,0,1,0,0,,Bayern
163773,1841,LinaMaria,1,0,0,,,,
266,1622,Renate,1,0,0,0,0,,Bayern
64900,1588,Kowalsky,0,0,0,1,1,,Hessen
82802,1515,Niggo,1,0,1,0,1,,Bayern
142379,1479,MarK97,1,1,1,0,0,,Bayern
80545,1430,Flora_Jana,1,1,0,0,0,,Bayern
154641,1370,JulianWR,1,1,1,0,0,,Bayern
18981,1300,wolfgang,1,0,1,0,0,,Bayern
75823,1284,LeaFa,1,0,1,1,1,,Bayern
87383,1190,kazuki,,0,0,0,0,,
25274,1094,Kati_L,1,0,0,0,0,,
62384,993,Rebi,1,0,0,0,0,,
34105,946,Knorrke,1,0,1,1,1,,Bayern
52731,919,tobi_serlo,1,0,1,0,1,,Bayern
10,911,Simon,1,0,0,0,0,,Bayern
105818,874,adrian_wagner,0,0,0,0,0,,
183449,709,HannaKulke,0,0,0,1,1,,Bayern
114063,663,Vithusha,1,0,1,0,1,,Bayern
105826,658,lotta_behrens,,0,0,,,,
52729,653,Marvin,1,0,0,0,0,,Bayern
97046,619,Lenali,1,0,1,,,,Bayern
61444,595,Michi,,0,,,,,
139548,574,IvanP,0,0,0,,,,
52009,562,SebSoGa,1,0,0,0,0,,Bayern
114064,535,Viki,1,0,1,,,,
114066,526,Simone_Heinrich,1,0,1,0,1,,Bayern
131530,514,emir_nbh,1,0,1,0,1,,Bayern
45848,498,Ronnit,1,0,0,0,0,,
72550,486,Bernhard-Strauss,1,0,0,1,1,,Bayern
98361,473,Susi,0,0,1,,0,,
114069,473,sabi21,,0,,,,,
32543,469,botho,1,0,0,0,0,,Bayern
82804,468,Monika_Wirthl,1,0,1,0,0,,Bayern
82805,461,martinlangenberg,0,0,1,1,1,,
175500,440,Theresa_Rudolph,1,1,1,0,0,,
61445,422,Nauran,0,0,1,1,1,,
51236,419,alexanderbrand,1,0,1,0,1,,
78344,418,George_Serlo,1,0,0,0,0,,
81382,401,Marika,1,0,0,0,0,,
118278,396,SinaDE,1,0,0,,,,
95628,384,Lorena,1,0,1,0,1,,
98366,382,Stefan95,1,0,1,0,1,,Bayern
70443,372,sansmile,1,0,,0,1,,
114070,370,Bettina_G,1,0,1,0,1,,
98365,366,tobias_lausser,1,0,1,0,0,,
175497,365,annak,1,1,1,,,,
98363,365,Oliver_Heinzel,1,0,1,,,,
143498,358,florian30,,0,,,,,
68398,351,hp,0,0,0,1,1,,Bayern
82801,345,melissa,,0,1,,1,,
40928,343,JonasBl,1,0,1,,,,
148805,337,JulianBabl,1,0,0,0,0,,Bayern
26217,335,Kulla,1,0,0,0,1,,Bayern
130175,332,Isabel_Domagala,,0,,,,,
75139,325,nicfrie,,0,0,0,0,,
142380,325,Aaron_A,1,0,1,,1,,
52732,319,dominiklechner,,0,1,,,,
111124,318,marie2143,,0,,,,,
90851,301,Alex_Lueckenhaus,,0,0,0,1,,Bayern
122345,301,jakobwes,1,0,0,0,0,,
178122,288,Madlen,1,0,0,,,,Bayern
133314,287,Judith,,0,0,,,,
70945,285,Greta,1,0,1,0,0,,
52735,280,theo,,0,,,,,
129379,277,opamp,0,0,0,,,,
98364,271,Christian_Brand,,0,1,0,0,,
70931,270,ekin,1,0,1,0,0,,
116723,269,ThomasBrunner,1,0,0,0,0,,Bayern
169868,262,hxwalther,0,0,0,,,,
70934,256,ToniSpring,1,0,1,,,,
133661,255,JuliaStaat,1,0,0,0,0,,Bayern
178123,254,lea_b,1,0,,0,0,,Bayern
150960,253,pro100met,1,0,0,,,,Bayern
150959,250,Heba,1,0,0,,,,Bayern
98359,242,Croft123,1,0,1,,1,,
95843,241,moritz0312,,0,0,,,,
129040,240,Gesine,1,0,0,0,0,,Bayern
73437,239,Johanna_B,,0,,1,1,,
98360,237,Bianca3,1,0,1,0,0,,
175502,233,isabellad,1,1,1,,,,Bayern
61446,229,vivian_haller,1,0,1,0,0,,
70933,227,Special,0,0,1,0,0,,
114065,226,michi_,1,0,1,,,,Bayern
49524,220,Julia_Re,1,0,0,0,0,,Bayern
131536,218,dal,1,0,0,,1,,Bayern
